dataset,model,kernel,scaler,poly,ridge,n_train,n_test,n_classes,MCC,ACC,TPR_macro,FPR,PPV_macro,F1_macro,AUROC_OvR_macro,AUROC_binary,t_preprocess_s,t_fit_s,t_predict_s,peak_rss_mb,status
CIC_IoT2023,HHH,laplacian,MinMaxScaler,-1,1e-05,7640,2000,6,0.9957186717165477,99.9,99.63333333333333,0.06,99.50371902861929,99.5678942774741,99.91831111111111,100.0,0.12128996849060059,1.4781110286712646,0.42446112632751465,3033.9375,ok
CIC_IoT2023,HHH,laplacian,MinMaxScaler,-1,1e-07,7640,2000,6,0.9957186717165477,99.9,99.63333333333333,0.06,99.50371902861929,99.5678942774741,99.91832777777778,100.0,0.12047386169433594,1.827491044998169,0.4297170639038086,3033.640625,ok
CIC_IoT2023,HHH,laplacian,MinMaxScaler,-1,1e-09,7640,2000,6,0.9957186717165477,99.9,99.63333333333333,0.06,99.50371902861929,99.5678942774741,99.91832777777778,100.0,0.11725616455078125,1.5940611362457275,0.4353210926055908,3025.265625,ok
CIC_IoT2023,HHHv2,laplacian,MinMaxScaler,-1,0.001,7640,2000,6,0.9992860711736605,99.98333333333333,99.91666666666667,0.01,99.91708126036484,99.91666614583008,100.0,100.0,0.11307501792907715,1.5434849262237549,0.4270949363708496,3033.9375,ok
CIC_IoT2023,HHHv2,laplacian,MinMaxScaler,-1,0.1,7640,2000,6,0.9985729466420016,99.96666666666667,99.9,0.02,99.83498349834984,99.86697266387779,99.99981481481481,100.0,0.1123208999633789,1.7509090900421143,0.4279482364654541,3033.9375,ok
CIC_IoT2023,HHHv2,laplacian,MinMaxScaler,-1,1e-05,7640,2000,6,0.9992860711736605,99.98333333333333,99.91666666666667,0.01,99.91708126036484,99.91666614583008,100.0,100.0,0.11267614364624023,1.8078300952911377,0.4268910884857178,3033.9375,ok
CIC_IoT2023,HHHv2,laplacian,MinMaxScaler,-1,1e-07,7640,2000,6,0.9992860711736605,99.98333333333333,99.91666666666667,0.01,99.91708126036484,99.91666614583008,100.0,100.0,0.11817216873168945,1.467076063156128,0.42682409286499023,3033.9375,ok
CIC_IoT2023,HHHv2,laplacian,MinMaxScaler,-1,1e-09,7640,2000,6,0.9992860711736605,99.98333333333333,99.91666666666667,0.01,99.91708126036484,99.91666614583008,100.0,100.0,0.11436796188354492,1.696871042251587,0.426440954208374,3033.9375,ok
Edge_IIoTset,HHH,abel,QuantileTransformer,0,0.001,10550,3000,15,0.6109109465002248,95.42500000000001,59.4375,2.44,61.105628957327255,57.494798529086545,89.02061904761904,94.46660714285713,1.8422648906707764,3.419968843460083,0.8651199340820312,4766.453125,ok
Edge_IIoTset,HHH,abel,QuantileTransformer,0,0.1,10550,3000,15,0.4867264802229959,93.95833333333333,48.43750000000001,3.2222222222222223,50.60933356678237,45.13325573669829,86.42228571428572,88.46169642857143,1.841235876083374,3.273776054382324,0.8680577278137207,4766.453125,ok
