dataset,model,kernel,scaler,poly,seed,n_train,n_test,n_classes,MCC,ACC,TPR_macro,TPR_weighted,FPR,PPV_macro,PPV_weighted,F1_macro,F1_weighted,AUROC_OvR_macro,AUROC_OvR_weighted,AUROC_OvO_macro,AUROC_binary,t_preprocess_s,t_fit_s,t_predict_s,peak_rss_mb,status
ToN_IoT,HHH,abel,MinMaxScaler,-1,44,7333,1920,8,0.9407245545945134,98.86574074074073,84.10185185185185,94.89583333333333,0.6380208333333334,83.85620169000472,95.13003965994405,83.92760185539686,94.93018773966084,98.48732093476585,98.57964386701572,98.41050223214287,99.28226744186045,0.30479907989501953,18.77617311477661,0.46793103218078613,3994.921875,ok
ToN_IoT,HHH,abel,MinMaxScaler,-1,45,7334,1920,8,0.9382398873842873,98.81944444444444,83.58333333333331,94.6875,0.6640625,83.12691767054989,94.87409265743817,83.29884444597285,94.70463484823206,98.0836262622399,98.15156218125254,97.94837053571428,97.74593023255814,0.08102178573608398,18.574944019317627,0.43908095359802246,3314.734375,ok
ToN_IoT,HHH,abel,MinMaxScaler,-1,46,7333,1920,8,0.9478850691165629,99.00462962962962,84.62962962962963,95.52083333333333,0.5598958333333334,84.62639863418278,95.70981390263898,84.58505162868644,95.55886900876483,98.31763358705629,98.4128134881171,98.27979910714285,99.24680232558141,0.0820009708404541,2.0652353763580322,0.41180968284606934,3994.921875,ok
ToN_IoT,HHH,abel,QuantileTransformer,-1,42,7333,1920,8,0.9222275834830111,98.50694444444444,82.82407407407408,93.28125,0.83984375,82.44300073521885,93.74504327312513,82.51763985039884,93.34507389476774,97.98886149431638,98.14991105175326,97.9055505952381,98.64127906976745,0.5286867618560791,10.704501867294312,0.41332578659057617,3994.921875,ok
ToN_IoT,HHH,abel,QuantileTransformer,-1,43,7333,1920,8,0.9226733080391845,98.51851851851852,82.7037037037037,93.33333333333333,0.8333333333333334,82.42789965449187,93.71036025753622,82.46360479336404,93.38383469827764,98.00490591283604,98.15469869157714,97.90851934523809,98.71395348837208,0.27135372161865234,10.242991209030151,0.5304522514343262,2791.625,ok
ToN_IoT,HHH,abel,QuantileTransformer,-1,44,7333,1920,8,0.9140330539633063,98.3449074074074,82.43518518518518,92.55208333333333,0.9309895833333334,81.69680592639746,93.14285717535893,81.90704839827931,92.61583689910012,98.30784989084671,98.2130812448292,98.30060267857142,99.21468023255815,0.11504197120666504,16.754771947860718,0.5068631172180176,2791.625,ok
ToN_IoT,HHH,abel,QuantileTransformer,-1,45,7333,1920,8,0.9168037203359131,98.203125,92.625,92.8125,1.0267857142857142,91.90469021920964,93.19005701762487,92.11514604822561,92.82228286512021,98.11691015430209,98.20906595663901,97.99560267857143,98.39854651162791,0.11287093162536621,16.698339223861694,0.4197568893432617,3994.921875,ok
ToN_IoT,HHH,abel,QuantileTransformer,-1,46,7333,1920,8,0.9299240077870504,98.6574074074074,83.31481481481481,93.95833333333333,0.7552083333333334,83.03790631514748,94.30630021588485,83.0886883989091,94.01217782544887,98.4364758290267,98.55621635443583,98.34270833333333,99.28517441860465,0.11915397644042969,2.444182872772217,0.4113919734954834,2791.625,ok
ToN_IoT,HHH,abel,StandardScaler,-1,42,7335,1920,8,0.9274524473075533,98.4375,93.55208333333334,93.75,0.8928571428571428,92.75676005160915,93.95566934213076,93.0699998558245,93.74716330954261,97.78454294448977,97.9355449448071,97.71654017857144,98.95377906976745,0.08273625373840332,2.50907301902771,0.4406919479370117,3313.296875,ok
ToN_IoT,HHH,abel,StandardScaler,-1,43,7333,1920,8,0.9333993641367105,98.72685185185185,83.18518518518519,94.27083333333334,0.7161458333333333,82.89123813355573,94.49314928807706,82.96946559476373,94.29685060680214,98.36235374804502,98.62369977602677,98.21183779761905,98.33880813953488,0.45746302604675293,2.369081735610962,0.6312141418457031,3994.921875,ok
ToN_IoT,HHH,abel,StandardScaler,-1,44,7333,1920,8,0.9402208597088196,98.85416666666667,84.1574074074074,94.84375,0.64453125,83.75383991238095,95.14440833835337,83.88227042290173,94.88839654719918,98.56775499441838,98.67767363590258,98.4726488095238,99.40872093023255,0.0784759521484375,2.9497759342193604,0.44048094749450684,3313.546875,ok
ToN_IoT,HHH,abel,StandardScaler,-1,45,7333,1920,8,0.9351534655188941,98.76157407407408,83.19444444444444,94.42708333333333,0.6966145833333334,82.76653220442921,94.57325278443943,82.93794840549903,94.43905389455156,98.01789430476222,98.11676554920894,97.81312499999999,97.6860465116279,0.4724888801574707,2.3655340671539307,0.602154016494751,3994.921875,ok
ToN_IoT,HHH,abel,StandardScaler,-1,46,7333,1920,8,0.9399821348655981,98.85416666666667,83.83333333333334,94.84375,0.64453125,83.81630376231726,95.03781925863515,83.77569078004507,94.88057020345856,98.08988391217869,98.24042546409629,98.02197916666665,99.09418604651162,0.08530712127685547,2.920679807662964,0.43669772148132324,3313.546875,ok
ToN_IoT,HHH,laplacian,MinMaxScaler,-1,42,7333,1920,8,0.9477599847570236,99.00462962962962,84.56481481481481,95.52083333333333,0.5598958333333334,84.6619625142902,95.99641073791737,84.55532713378851,95.71524190491633,99.21929793572069,99.30384095104323,99.23723958333335,99.03808139534884,0.10692405700683594,2.290451765060425,0.39695024490356445,3314.734375,ok
ToN_IoT,HHH,laplacian,MinMaxScaler,-1,43,7335,1920,8,0.9635397100742993,99.30555555555556,85.52777777777779,96.875,0.390625,85.73742445832725,97.2380382693442,85.5849278727518,97.02118614879498,99.38859547300704,99.49198861044529,99.35247767857142,98.90014534883721,0.0816340446472168,3.024526834487915,0.5263688564300537,3314.734375,ok
ToN_IoT,HHH,laplacian,MinMaxScaler,-1,44,7333,1920,8,0.9598926237135171,99.23611111111111,85.5462962962963,96.5625,0.42968750000000006,85.42194614670909,96.87747874764567,85.43704009754764,96.68761985343261,99.34744362774263,99.43193617471894,99.38920386904762,99.71293604651163,0.39048290252685547,13.522042751312256,0.49195337295532227,3314.734375,ok
ToN_IoT,HHH,laplacian,MinMaxScaler,-1,45,7334,1920,8,0.9538688545968369,99.12037037037037,85.2685185185185,96.04166666666667,0.49479166666666663,84.73047389429505,96.27983469494043,84.942494499792,96.11684152965691,99.19959782925902,99.2533364535167,99.16114955357142,98.66162790697673,0.08495402336120605,13.569151878356934,0.37126779556274414,3994.921875,ok
