dataset,model,seed,n_train,n_test,n_classes,MCC,ACC,TPR_macro,TPR_weighted,FPR,PPV_macro,PPV_weighted,F1_macro,F1_weighted,AUROC_OvR_macro,AUROC_OvR_weighted,AUROC_OvO_macro,AUROC_binary,t_preprocess_s,t_fit_s,t_predict_s,peak_rss_mb,status
N_BaIoT,LGBM,42,6880,1800,9,0.998128119155246,99.96296296296296,99.83333333333333,99.83333333333333,0.020833333333333336,99.83579638752053,99.83579638752053,99.83332395780597,99.83332395780596,99.99916666666668,99.99916666666667,99.99916666666667,100.0,0.2899298667907715,5.415794134140015,0.018193960189819336,2980.171875,ok
N_BaIoT,LGBM,43,6880,1800,9,0.9962534592194057,99.92592592592592,99.66666666666667,99.66666666666667,0.04166666666666667,99.66968251245143,99.66968251245142,99.66679548644746,99.66679548644747,99.98697916666666,99.98697916666667,99.98697916666666,100.0,0.2842600345611572,5.403638124465942,0.022757768630981445,2980.171875,ok
N_BaIoT,LGBM,44,6880,1800,9,0.9918953202858859,99.8395061728395,99.27777777777779,99.27777777777777,0.09027777777777778,99.29364305412889,99.2936430541289,99.27764267096752,99.27764267096751,99.97159722222223,99.97159722222221,99.97159722222223,99.999375,0.27956080436706543,4.764293193817139,0.021965980529785156,2980.171875,ok
N_BaIoT,LGBM,45,6880,1800,9,0.9962538051433281,99.92592592592592,99.66666666666666,99.66666666666667,0.04166666666666667,99.66968251245143,99.66968251245142,99.66665659669052,99.66665659669053,99.98128472222221,99.98128472222221,99.98128472222221,99.99843750000001,0.2838728427886963,4.716001749038696,0.01868605613708496,2980.171875,ok
N_BaIoT,LGBM,46,6881,1800,9,0.9931336209889887,99.8641975308642,99.38888888888887,99.3888888888889,0.0763888888888889,99.39628891693424,99.39628891693424,99.38913606384635,99.38913606384637,99.97781250000001,99.97781250000001,99.97781250000001,99.999375,0.2896769046783447,4.723360776901245,0.020930051803588867,2980.171875,ok
N_BaIoT,MLP,42,6880,1800,9,0.9950058733158923,99.90123456790123,99.55555555555556,99.55555555555556,0.05555555555555555,99.56156575563908,99.56156575563907,99.55623273573548,99.55623273573549,99.92288194444444,99.92288194444446,99.92288194444447,99.9846875,0.2823762893676758,0.9334802627563477,0.0011930465698242188,2980.171875,ok
N_BaIoT,MLP,43,6880,1800,9,0.9950044913498547,99.90123456790123,99.55555555555556,99.55555555555556,0.05555555555555555,99.5588477971391,99.55884779713911,99.55540520169035,99.55540520169033,99.87090277777777,99.87090277777779,99.87090277777777,99.95468749999999,0.29050493240356445,1.0250601768493652,0.0010669231414794922,2980.171875,ok
N_BaIoT,MLP,44,6880,1800,9,0.9788458500157009,99.58024691358025,98.11111111111111,98.11111111111111,0.2361111111111111,98.18677429713864,98.18677429713867,98.11092967451393,98.11092967451394,99.65989583333332,99.65989583333334,99.65989583333332,99.97781250000001,0.28912782669067383,1.1410350799560547,0.0015099048614501953,2980.171875,ok
N_BaIoT,MLP,45,6880,1800,9,0.9813750651388269,99.62962962962963,98.33333333333333,98.33333333333333,0.20833333333333334,98.42329665427883,98.42329665427886,98.32886021683149,98.32886021683149,99.7596875,99.7596875,99.7596875,99.968125,0.28105783462524414,1.1879479885101318,0.0011699199676513672,2980.171875,ok
N_BaIoT,MLP,46,6881,1800,9,0.9806798242587438,99.61728395061729,98.27777777777776,98.27777777777777,0.2152777777777778,98.31458144444095,98.31458144444095,98.27450023558028,98.27450023558028,99.67128472222223,99.67128472222223,99.67128472222223,99.509375,0.2783851623535156,1.447545051574707,0.0010509490966796875,2980.171875,ok
N_BaIoT,NC,42,6880,1800,9,0.4499282697054501,88.5432098765432,48.44444444444444,48.44444444444444,6.444444444444445,38.949876833842836,38.94987683384284,39.74024101157856,39.74024101157857,85.11805555555556,85.11805555555556,85.11805555555556,96.16359375,0.28859806060791016,0.0024640560150146484,0.0034749507904052734,2980.171875,ok
N_BaIoT,NC,43,6880,1800,9,0.41161839542764017,87.82716049382717,45.22222222222222,45.22222222222222,6.847222222222222,33.095133321178395,33.0951333211784,34.888632315158006,34.888632315158006,85.58720486111112,85.5872048611111,85.58720486111112,93.97328125,0.3085510730743408,0.0022912025451660156,0.0034258365631103516,2980.171875,ok
