dataset,model,kernel,scaler,poly,gamma_setting,gamma_used,n_train,n_classes,MCC,ACC,TPR_macro,FPR,PPV_macro,F1_macro,AUROC_OvR_macro,AUROC_binary,t_fit_s,t_predict_s,peak_rss_mb,status
N_BaIoT,HHHv2,rbf,QuantileTransformer,-1,heuristic,0.42454797581911774,6880,9,0.9881407829302171,99.76543209876543,98.94444444444446,0.13194444444444445,98.95408280838438,98.94294325765723,99.9160763888889,99.93015625000001,0.9537768363952637,0.14874005317687988,3187.359375,ok
N_BaIoT,HHHv2,sigmoid,StandardScaler,-1,default,,6880,9,0.572498861701692,91.46913580246914,61.61111111111111,4.798611111111111,63.69178152476418,60.821814253243154,87.77333333333333,96.525625,19.712217807769775,0.11465907096862793,7471.5625,ok
N_BaIoT,HHHv2,sigmoid,StandardScaler,-1,heuristic,5.708405036443104,6880,9,0.11334379339975396,82.24691358024691,20.11111111111111,9.98611111111111,17.73870064967913,14.167623653124048,50.07187500000001,54.58531249999999,20.06245708465576,0.11118912696838379,7471.5625,ok
ToN_IoT,HHH,poly,StandardScaler,-1,default,,7335,8,0.5969495892804156,92.10648148148148,53.30555555555555,4.440104166666667,54.71354979101609,52.316344812045344,88.80025730002494,93.35363372093023,1.0955848693847656,0.22138381004333496,3187.359375,ok
ToN_IoT,HHH,poly,StandardScaler,-1,heuristic,532.7413248010687,7335,8,0.5715587992996257,91.63194444444444,51.33333333333333,4.70703125,53.10524084502127,50.392859598617044,88.18606777916611,94.65755813953488,25.022552967071533,0.26580023765563965,7250.21875,ok
ToN_IoT,HHH,rbf,QuantileTransformer,-1,default,,7333,8,0.8240016039065293,96.51620370370371,73.98148148148148,1.9596354166666667,80.58042737142866,76.55543058897595,92.93589037850197,91.92063953488372,0.9935328960418701,0.14912796020507812,3187.359375,ok
ToN_IoT,HHH,rbf,QuantileTransformer,-1,heuristic,19.670725409898726,7333,8,0.6154140490651371,92.25694444444444,60.07407407407407,4.35546875,58.95392231000171,55.084557966782,83.81171306567047,98.33299418604652,0.974402904510498,0.1368401050567627,3187.359375,ok
ToN_IoT,HHH,sigmoid,MinMaxScaler,-1,default,,7333,8,0.1735453059196892,81.84895833333333,24.96875,10.37202380952381,29.757954938846677,18.368624566332105,66.51846936057846,83.08139534883722,24.5958468914032,0.12498188018798828,7250.21875,ok
ToN_IoT,HHH,sigmoid,MinMaxScaler,-1,heuristic,9937.351026743694,7333,8,0.001050206510857934,80.0925925925926,11.11111111111111,11.197916666666668,1.159218686605228,2.0994069175457932,53.505538157257234,48.56627906976745,24.59714102745056,0.11983418464660645,7250.21875,ok
ToN_IoT,HHHv2,poly,QuantileTransformer,-1,default,,7333,8,0.9416658298825819,98.75,94.58333333333333,0.7142857142857143,94.43101686795717,94.45752193160841,97.68568462702298,97.60406976744187,1.0982909202575684,0.22641992568969727,3187.359375,ok
ToN_IoT,HHHv2,poly,QuantileTransformer,-1,heuristic,19.670725409898726,7333,8,0.9241972964552301,98.37239583333334,93.36458333333333,0.9300595238095238,92.521645328576,92.87741071222638,96.11711510891246,93.37296511627908,1.7223286628723145,0.2278153896331787,3187.359375,ok
